timestamp_start,length_mean,length_range,length_median,ttl_mean,ttl_range,ttl_median,payload_length_mean,payload_length_range,payload_length_median,most_freq_highest_layer,most_freq_src_port,most_freq_dst_port,most_freq_protocol,most_freq_tcp_flags,label,duration
93.071985,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.47032397795066555
93.076481,1459.75,1085,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.05902877729449187
93.076507,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.0852838826625629
93.076546,1459.75,1085,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.0680013340467566
93.076577,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.07803179908053029
93.076612,1459.75,1085,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.054161136786494764
93.076636,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.09034441233586143
93.076678,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.05161884280158222
93.076701,1405.5,1085,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.07611799890035514
93.076735,1459.75,1085,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.06584525622188811
93.076764,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.522896177508902
93.094422,1459.75,1085,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.0279755785940422
93.094437,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.49061000271396865
93.100145,1514.0,0,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.5361256090651138
93.109893,1459.75,1085,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.5287458179412108
93.118831,1442.6,1428,1514.0,64.0,0.0,64.0,0.0,0.0,0.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.4232975908046419
93.121415,1459.75,1085,1514.0,64.0,0.0,64.0,1472.0,0.0,1472.0,Raw,Dynamic_Private,Dynamic_Private,17.0,Unknown,attack,0.024499156150904595
