timestamp,length,highest_layer,src_port,dst_port,protocol,ttl,tcp_flags,payload_length,label
7.41774,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
7.638905,217,Raw,Dynamic_Private,Registered,17.0,1.0,,175.0,normal
8.115526,107,DNS,Dynamic_Private,Dynamic_Private,,,,,normal
8.115526,87,DNS,Registered,Registered,17.0,255.0,,45.0,normal
8.191136,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
8.196255,1294,Raw,Well-known,Registered,6.0,64.0,PA,1228.0,normal
8.19691,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
8.255342,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
8.261458,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
8.261987,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
8.428418,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
8.430815,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
8.432259,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
8.639993,217,Raw,Dynamic_Private,Registered,17.0,1.0,,175.0,normal
9.211875,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
9.221375,1298,Raw,Well-known,Registered,6.0,64.0,PA,1232.0,normal
9.221375,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
9.277326,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
9.284089,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
9.284656,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
9.442662,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
9.444241,290,Raw,Well-known,Registered,6.0,64.0,PA,224.0,normal
9.444539,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
9.445583,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
9.445876,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
10.236837,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
10.241724,1295,Raw,Well-known,Registered,6.0,64.0,PA,1229.0,normal
10.242583,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
10.296315,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
10.306749,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
10.307796,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
10.45749,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
10.460425,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
10.461253,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
10.735475,60,Padding,Registered,Well-known,6.0,64.0,A,6.0,normal
10.736001,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
11.255085,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
11.259813,1298,Raw,Well-known,Registered,6.0,64.0,PA,1232.0,normal
11.260931,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
11.323227,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
11.327022,290,Raw,Well-known,Registered,6.0,64.0,PA,224.0,normal
11.327022,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
11.327376,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
11.328596,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
11.472912,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
11.475725,290,Raw,Well-known,Registered,6.0,64.0,PA,224.0,normal
11.477172,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
11.477172,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
11.477595,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
12.28187,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
12.289193,1290,Raw,Well-known,Registered,6.0,64.0,PA,1224.0,normal
12.289308,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
12.291236,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
12.291236,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
12.351375,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
12.357748,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
12.358432,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
12.494633,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
12.498575,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
12.499281,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
13.040327,60,Padding,Registered,Well-known,6.0,64.0,A,6.0,normal
13.040327,60,Padding,Dynamic_Private,Well-known,6.0,64.0,A,6.0,normal
13.040327,60,Padding,Registered,Well-known,6.0,64.0,A,6.0,normal
13.044056,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
13.044271,54,TCP,Well-known,Dynamic_Private,6.0,63.0,A,0.0,normal
13.044278,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
13.299989,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
13.308495,1294,Raw,Well-known,Registered,6.0,64.0,PA,1228.0,normal
13.30904,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
13.378579,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
13.387877,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
13.391435,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
13.509088,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
13.520196,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
13.52072,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
14.321512,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
14.329911,1296,Raw,Well-known,Registered,6.0,64.0,PA,1230.0,normal
14.329911,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
14.405915,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
14.417337,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
14.418245,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
14.532922,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
14.534934,290,Raw,Well-known,Registered,6.0,64.0,PA,224.0,normal
14.535599,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
14.53662,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
14.536621,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
15.089454,60,Padding,Registered,Well-known,6.0,64.0,A,6.0,normal
15.090049,54,TCP,Well-known,Registered,6.0,63.0,A,0.0,normal
15.342961,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
15.351744,1295,Raw,Well-known,Registered,6.0,64.0,PA,1229.0,normal
15.352179,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
15.439288,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
15.447917,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
15.449047,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
15.547937,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
15.553224,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
15.553224,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
15.754193,42,ARP,Dynamic_Private,Dynamic_Private,,,,,normal
15.754737,60,Padding,Dynamic_Private,Dynamic_Private,,,,,normal
16.373415,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
16.38102,1295,Raw,Well-known,Registered,6.0,64.0,PA,1229.0,normal
16.383705,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
16.46285,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
16.467158,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
16.467158,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
16.571393,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
16.582699,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
16.58307,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
17.39747,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
17.406343,1295,Raw,Well-known,Registered,6.0,64.0,PA,1229.0,normal
17.406343,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
17.480602,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
17.490614,290,Raw,Well-known,Registered,6.0,64.0,PA,224.0,normal
17.490614,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
17.492476,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
17.496495,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
17.596773,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
17.601551,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
17.602281,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
18.421976,1259,Raw,Registered,Well-known,6.0,64.0,PA,1193.0,normal
18.430214,1290,Raw,Well-known,Registered,6.0,64.0,PA,1224.0,normal
18.431204,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
18.432276,71,Raw,Well-known,Registered,6.0,64.0,PA,5.0,normal
18.432276,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
18.503588,1210,Raw,Registered,Well-known,6.0,64.0,PA,1144.0,normal
18.508197,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
18.508885,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
18.619367,1215,Raw,Registered,Well-known,6.0,64.0,PA,1149.0,normal
18.62648,295,Raw,Well-known,Registered,6.0,64.0,PA,229.0,normal
18.62648,66,TCP,Registered,Well-known,6.0,64.0,A,0.0,normal
